ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,CINEMA91,SYSTEM.TXT,0.80488,0.75000,0.77647,1
ROUGE-1,CINEMA90,SYSTEM.TXT,0.81000,0.82653,0.81818,1
ROUGE-1,CINEMA93,SYSTEM.TXT,0.75342,0.79710,0.77465,1
ROUGE-1,CINEMA18,SYSTEM.TXT,0.58333,0.61250,0.59756,1
ROUGE-1,CINEMA92,SYSTEM.TXT,0.37037,0.25974,0.30534,1
ROUGE-1,CINEMA19,SYSTEM.TXT,0.85841,0.76378,0.80833,1
ROUGE-1,CINEMA95,SYSTEM.TXT,0.78261,0.78261,0.78261,1
ROUGE-1,CINEMA94,SYSTEM.TXT,0.90789,0.94521,0.92617,1
ROUGE-1,CINEMA97,SYSTEM.TXT,0.86047,0.88095,0.87059,1
ROUGE-1,CINEMA96,SYSTEM.TXT,0.81579,0.80519,0.81046,1
ROUGE-1,CINEMA12,SYSTEM.TXT,0.61538,0.56000,0.58639,1
ROUGE-1,CINEMA13,SYSTEM.TXT,0.59494,0.61039,0.60256,1
ROUGE-1,CINEMA10,SYSTEM.TXT,0.00000,0.00000,0.00000,1
ROUGE-1,CINEMA11,SYSTEM.TXT,0.82828,0.91111,0.86772,1
ROUGE-1,CINEMA16,SYSTEM.TXT,0.83158,0.74528,0.78607,1
ROUGE-1,CINEMA50,SYSTEM.TXT,0.92857,0.76471,0.83871,1
ROUGE-1,CINEMA17,SYSTEM.TXT,0.88182,0.75194,0.81172,1
ROUGE-1,CINEMA51,SYSTEM.TXT,0.75862,0.81481,0.78571,1
ROUGE-1,CINEMA14,SYSTEM.TXT,0.76119,0.73913,0.75000,1
ROUGE-1,CINEMA52,SYSTEM.TXT,0.61165,0.67742,0.64286,1
ROUGE-1,CINEMA53,SYSTEM.TXT,0.67327,0.58120,0.62385,1
ROUGE-1,CINEMA15,SYSTEM.TXT,0.83178,0.74790,0.78761,1
ROUGE-1,CINEMA55,SYSTEM.TXT,0.95370,0.95370,0.95370,1
ROUGE-1,CINEMA54,SYSTEM.TXT,0.81522,0.80645,0.81081,1
ROUGE-1,CINEMA57,SYSTEM.TXT,0.81890,0.77612,0.79693,1
ROUGE-1,CINEMA56,SYSTEM.TXT,0.85047,0.81982,0.83486,1
ROUGE-1,CINEMA59,SYSTEM.TXT,0.85185,0.66346,0.74595,1
ROUGE-1,CINEMA58,SYSTEM.TXT,0.81928,0.77273,0.79532,1
ROUGE-1,CINEMA98,SYSTEM.TXT,0.63014,0.45098,0.52571,1
ROUGE-1,CINEMA99,SYSTEM.TXT,0.45455,0.36082,0.40230,1
ROUGE-1,CINEMA29,SYSTEM.TXT,0.50602,0.27097,0.35294,1
ROUGE-1,CINEMA21,SYSTEM.TXT,0.40000,0.32353,0.35772,1
ROUGE-1,CINEMA60,SYSTEM.TXT,0.77215,0.69318,0.73054,1
ROUGE-1,CINEMA22,SYSTEM.TXT,0.54795,0.47059,0.50633,1
ROUGE-1,CINEMA23,SYSTEM.TXT,0.63953,0.59140,0.61453,1
ROUGE-1,CINEMA24,SYSTEM.TXT,0.57143,0.38462,0.45977,1
ROUGE-1,CINEMA63,SYSTEM.TXT,0.75000,0.58333,0.65625,1
ROUGE-1,CINEMA25,SYSTEM.TXT,0.79762,0.70526,0.74860,1
ROUGE-1,CINEMA64,SYSTEM.TXT,0.71429,0.57143,0.63492,1
ROUGE-1,CINEMA26,SYSTEM.TXT,0.85870,0.80612,0.83158,1
ROUGE-1,CINEMA61,SYSTEM.TXT,0.83962,0.83962,0.83962,1
ROUGE-1,CINEMA27,SYSTEM.TXT,0.74242,0.66667,0.70251,1
ROUGE-1,CINEMA62,SYSTEM.TXT,0.63291,0.51020,0.56497,1
ROUGE-1,CINEMA28,SYSTEM.TXT,0.64474,0.62025,0.63226,1
ROUGE-1,CINEMA68,SYSTEM.TXT,0.80198,0.50000,0.61597,1
ROUGE-1,CINEMA67,SYSTEM.TXT,0.75455,0.66400,0.70638,1
ROUGE-1,CINEMA66,SYSTEM.TXT,0.50000,0.44578,0.47134,1
ROUGE-1,CINEMA65,SYSTEM.TXT,0.41667,0.35354,0.38251,1
ROUGE-1,CINEMA20,SYSTEM.TXT,0.75714,0.70667,0.73103,1
ROUGE-1,CINEMA69,SYSTEM.TXT,0.90000,0.92045,0.91011,1
ROUGE-1,CINEMA8,SYSTEM.TXT,0.60000,0.53731,0.56693,1
ROUGE-1,CINEMA73,SYSTEM.TXT,0.77049,0.83186,0.80000,1
ROUGE-1,CINEMA7,SYSTEM.TXT,0.66000,0.51562,0.57895,1
ROUGE-1,CINEMA72,SYSTEM.TXT,0.59140,0.48673,0.53398,1
ROUGE-1,CINEMA75,SYSTEM.TXT,0.75439,0.62319,0.68254,1
ROUGE-1,CINEMA6,SYSTEM.TXT,0.46774,0.31522,0.37662,1
ROUGE-1,CINEMA74,SYSTEM.TXT,0.77228,0.70270,0.73585,1
ROUGE-1,CINEMA5,SYSTEM.TXT,0.42254,0.32609,0.36810,1
ROUGE-1,CINEMA4,SYSTEM.TXT,0.69333,0.61905,0.65409,1
ROUGE-1,CINEMA3,SYSTEM.TXT,0.62903,0.54167,0.58209,1
ROUGE-1,CINEMA71,SYSTEM.TXT,0.86458,0.80583,0.83417,1
ROUGE-1,CINEMA2,SYSTEM.TXT,0.72222,0.58209,0.64463,1
ROUGE-1,CINEMA70,SYSTEM.TXT,0.66292,0.54630,0.59898,1
ROUGE-1,CINEMA1,SYSTEM.TXT,0.71845,0.49664,0.58730,1
ROUGE-1,CINEMA30,SYSTEM.TXT,0.44048,0.37755,0.40659,1
ROUGE-1,CINEMA31,SYSTEM.TXT,0.81579,0.81579,0.81579,1
ROUGE-1,CINEMA9,SYSTEM.TXT,0.57895,0.57143,0.57516,1
ROUGE-1,CINEMA37,SYSTEM.TXT,0.76404,0.74725,0.75556,1
ROUGE-1,CINEMA36,SYSTEM.TXT,0.62353,0.58242,0.60227,1
ROUGE-1,CINEMA39,SYSTEM.TXT,0.83951,0.78161,0.80952,1
ROUGE-1,CINEMA38,SYSTEM.TXT,0.57647,0.46226,0.51309,1
ROUGE-1,CINEMA33,SYSTEM.TXT,0.64615,0.50602,0.56757,1
ROUGE-1,CINEMA32,SYSTEM.TXT,0.95968,0.94444,0.95200,1
ROUGE-1,CINEMA35,SYSTEM.TXT,0.67677,0.65049,0.66337,1
ROUGE-1,CINEMA34,SYSTEM.TXT,0.68605,0.64130,0.66292,1
ROUGE-1,CINEMA76,SYSTEM.TXT,0.70755,0.60976,0.65502,1
ROUGE-1,CINEMA77,SYSTEM.TXT,0.89412,0.92683,0.91018,1
ROUGE-1,CINEMA78,SYSTEM.TXT,0.66667,0.64000,0.65306,1
ROUGE-1,CINEMA79,SYSTEM.TXT,0.68852,0.63636,0.66142,1
ROUGE-1,CINEMA86,SYSTEM.TXT,0.82258,0.76119,0.79070,1
ROUGE-1,CINEMA85,SYSTEM.TXT,0.83333,0.75472,0.79208,1
ROUGE-1,CINEMA84,SYSTEM.TXT,0.75581,0.77381,0.76471,1
ROUGE-1,CINEMA83,SYSTEM.TXT,0.75676,0.68293,0.71795,1
ROUGE-1,CINEMA82,SYSTEM.TXT,0.61538,0.57143,0.59259,1
ROUGE-1,CINEMA81,SYSTEM.TXT,0.77143,0.72000,0.74483,1
ROUGE-1,CINEMA80,SYSTEM.TXT,0.60870,0.63636,0.62222,1
ROUGE-1,CINEMA41,SYSTEM.TXT,0.95745,0.95745,0.95745,1
ROUGE-1,CINEMA42,SYSTEM.TXT,0.61905,0.64356,0.63107,1
ROUGE-1,CINEMA40,SYSTEM.TXT,0.66379,0.55396,0.60392,1
ROUGE-1,CINEMA49,SYSTEM.TXT,0.97810,0.97810,0.97810,1
ROUGE-1,CINEMA48,SYSTEM.TXT,0.00000,0.00000,0.00000,1
ROUGE-1,CINEMA47,SYSTEM.TXT,0.72000,0.69903,0.70936,1
ROUGE-1,CINEMA46,SYSTEM.TXT,0.23611,0.27419,0.25373,1
ROUGE-1,CINEMA45,SYSTEM.TXT,0.37179,0.29293,0.32768,1
ROUGE-1,CINEMA44,SYSTEM.TXT,0.47887,0.42500,0.45033,1
ROUGE-1,CINEMA43,SYSTEM.TXT,0.87179,0.78161,0.82424,1
ROUGE-1,CINEMA0,SYSTEM.TXT,0.33000,0.46479,0.38596,1
ROUGE-1,CINEMA89,SYSTEM.TXT,0.60331,0.58400,0.59350,1
ROUGE-1,CINEMA87,SYSTEM.TXT,0.52381,0.36066,0.42718,1
ROUGE-1,CINEMA88,SYSTEM.TXT,0.95082,0.95082,0.95082,1
